Stat_ID,Rider_ID,Heart_Rate,Speed,Latitude,Longitude,Elevation,Cadence,Power,STAT_TS
1,1,85,12.9,-34.957996,138.601062,0,476.2828029,24.97566822,2014-05-10T22:03:28Z
2,2,85,14,-34.958004,138.601063,0,670.1383345,471.429463,2014-05-10T22:03:29Z
3,3,85,6.7,-34.958008,138.601071,0.400000006,61.01653107,984.579145,2014-05-10T22:03:32Z
4,4,84,14.3,-34.95801,138.601073,-0.400000006,989.6950214,543.0831411,2014-05-10T22:03:33Z
5,5,85,9.7,-34.958017,138.601089,0,360.5576111,556.1256086,2014-05-10T22:03:34Z
6,6,86,8.5,-34.958024,138.601099,0.400000006,692.4784644,341.0925324,2014-05-10T22:03:35Z
7,7,87,10.1,-34.958024,138.60111,0.200000003,891.6587038,177.2868325,2014-05-10T22:03:36Z
8,8,87,12.6,-34.958024,138.601123,0.200000003,756.783894,667.1688451,2014-05-10T22:03:37Z
9,9,85,17.8,-34.958021,138.601131,0.200000003,888.6550702,160.2922974,2014-05-10T22:03:38Z
10,1,83,19,-34.958022,138.601122,0.200000003,3.723520333,436.2042857,2014-05-10T22:03:39Z
11,2,82,13.1,-34.958024,138.60113,0.200000003,82.31192533,90.79387646,2014-05-10T22:03:40Z
12,3,80,11.7,-34.958025,138.601128,0,906.3244159,163.8863937,2014-05-10T22:03:41Z
13,4,80,0.3,-34.958026,138.601127,0,726.608098,395.2208166,2014-05-10T22:03:42Z
14,5,80,15.9,-34.958025,138.601127,0,886.9033904,329.1507874,2014-05-10T22:03:43Z
15,6,79,16.7,-34.958025,138.601127,0,526.175759,194.423953,2014-05-10T22:03:44Z
16,7,80,0.7,-34.958024,138.601137,0,44.6762353,30.99011995,2014-05-10T22:03:45Z
17,8,80,16.5,-34.958022,138.601149,-0.200000003,938.3524113,695.6181239,2014-05-10T22:03:46Z
18,9,82,20.7,-34.958021,138.601162,0,822.7208714,31.49486784,2014-05-10T22:03:47Z
19,1,82,9,-34.958016,138.60118,0,999.7354009,34.39771599,2014-05-10T22:03:48Z
20,2,83,27.8,-34.958014,138.601196,0,631.2858049,26.17982465,2014-05-10T22:03:49Z
21,3,85,14.3,-34.958016,138.601212,-0.200000003,238.2416679,53.3203941,2014-05-10T22:03:50Z
22,4,85,23,-34.958024,138.601245,-0.400000006,2.275824887,927.7300986,2014-05-10T22:03:51Z
23,5,85,25.4,-34.958042,138.601276,-0.600000024,43.7514267,29.48358978,2014-05-10T22:03:52Z
24,6,87,13.6,-34.958076,138.60129,-0.400000006,348.7335424,669.2834291,2014-05-10T22:03:53Z
25,7,90,9.7,-34.95812,138.601302,-0.200000003,815.2833179,351.7129933,2014-05-10T22:03:54Z
26,8,91,10.2,-34.958154,138.601313,-0.200000003,457.2323246,905.7262642,2014-05-10T22:03:55Z
27,9,93,12.7,-34.958207,138.60132,0,277.9417971,399.4229567,2014-05-10T22:03:56Z
28,1,93,16.3,-34.95825,138.601324,0.200000003,839.5264433,891.70454,2014-05-10T22:03:57Z
29,2,95,12.5,-34.958305,138.601333,0.400000006,262.2912157,862.7898654,2014-05-10T22:03:58Z
30,3,97,,-34.95835,138.601338,0.600000024,,,2014-05-10T22:03:59Z
31,4,99,,-34.9584,138.601343,0.600000024,,,2014-05-10T22:04:00Z
